Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-12-10 10:33:55;"Chest A";"Incline Bench Press (Barbell)";1;90;lbs;15;;;;0;"";""
2018-12-10 10:33:55;"Chest A";"Incline Bench Press (Barbell)";2;90;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Incline Bench Press (Barbell)";3;90;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Incline Bench Press (Barbell)";4;90;lbs;11;;;;0;;
2018-12-10 10:33:55;"Chest A";"Bench Press (Dumbbell)";1;90;lbs;15;;;;0;"";
2018-12-10 10:33:55;"Chest A";"Bench Press (Dumbbell)";2;90;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Bench Press (Dumbbell)";3;90;lbs;12;;;;0;;
2018-12-10 10:33:55;"Chest A";"Bench Press (Dumbbell)";4;90;lbs;12;;;;0;;
2018-12-10 10:33:55;"Chest A";"Bent Over One Arm Row (Dumbbell)";1;120;lbs;15;;;;0;"";
2018-12-10 10:33:55;"Chest A";"Bent Over One Arm Row (Dumbbell)";2;120;lbs;12;;;;0;;
2018-12-10 10:33:55;"Chest A";"Bent Over One Arm Row (Dumbbell)";3;120;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Bent Over One Arm Row (Dumbbell)";4;120;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Cable Crossover";1;50;lbs;15;;;;0;"";
2018-12-10 10:33:55;"Chest A";"Cable Crossover";2;60;lbs;11;;;;0;;
2018-12-10 10:33:55;"Chest A";"Cable Crossover";3;60;lbs;9;;;;0;;
2018-12-10 10:33:55;"Chest A";"Cable Crossover";4;50;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Cable Crossover";5;50;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Lat Pulldown - Wide Grip (Cable)";1;90;lbs;15;;;;0;"";
2018-12-10 10:33:55;"Chest A";"Lat Pulldown - Wide Grip (Cable)";2;95;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Lat Pulldown - Wide Grip (Cable)";3;95;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Lat Pulldown - Wide Grip (Cable)";4;95;lbs;13;;;;0;;
2018-12-10 10:33:55;"Chest A";"Shrug (Dumbbell)";1;100;lbs;15;;;;0;"";
2018-12-10 10:33:55;"Chest A";"Shrug (Dumbbell)";2;120;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Shrug (Dumbbell)";3;120;lbs;15;;;;0;;
2018-12-10 10:33:55;"Chest A";"Shrug (Dumbbell)";4;110;lbs;15;;;;0;;
2018-12-11 07:02:34;"Leg +Core A";"Leg Extension (Machine)";1;135;lbs;15;;;;0;"";""
